track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence
01vv2AjxgP4uUyb8waYO5Y,0.0747,0.734,0.607,0.000577,0.0968,-7.249,0.0806,0.518
01vv2AjxgP4uUyb8waYO5Y,0.0747,0.734,0.607,0.000577,0.0968,-7.249,0.0806,0.518
000TJlEJQ3nafsm1hBWpoj,0.155,0.62,0.586,0.0,0.535,-6.612,0.212,0.487
000TJlEJQ3nafsm1hBWpoj,0.155,0.62,0.586,0.0,0.535,-6.612,0.212,0.487
02LqtUPTOQ8wcouIumUKQM,0.955,0.445,0.0857,0.000142,0.13,-15.293,0.039,0.173
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
01VSHxfYF9HH7gnLPXXU1F,0.88,0.629,0.187,9.81e-06,0.0916,-15.878,0.0459,0.257
01VSHxfYF9HH7gnLPXXU1F,0.88,0.629,0.187,9.81e-06,0.0916,-15.878,0.0459,0.257
01VSHxfYF9HH7gnLPXXU1F,0.88,0.629,0.187,9.81e-06,0.0916,-15.878,0.0459,0.257
01VSHxfYF9HH7gnLPXXU1F,0.88,0.629,0.187,9.81e-06,0.0916,-15.878,0.0459,0.257
01VSHxfYF9HH7gnLPXXU1F,0.88,0.629,0.187,9.81e-06,0.0916,-15.878,0.0459,0.257
01VSHxfYF9HH7gnLPXXU1F,0.88,0.629,0.187,9.81e-06,0.0916,-15.878,0.0459,0.257
01VSHxfYF9HH7gnLPXXU1F,0.88,0.629,0.187,9.81e-06,0.0916,-15.878,0.0459,0.257
01VSHxfYF9HH7gnLPXXU1F,0.88,0.629,0.187,9.81e-06,0.0916,-15.878,0.0459,0.257
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
02LMGGAW6fN40b0oxhXkmP,0.000156,0.506,0.847,0.0221,0.311,-3.085,0.0862,0.778
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
02LqtUPTOQ8wcouIumUKQM,0.955,0.445,0.0857,0.000142,0.13,-15.293,0.039,0.173
01VSHxfYF9HH7gnLPXXU1F,0.88,0.629,0.187,9.81e-06,0.0916,-15.878,0.0459,0.257
01VSHxfYF9HH7gnLPXXU1F,0.88,0.629,0.187,9.81e-06,0.0916,-15.878,0.0459,0.257
02LqtUPTOQ8wcouIumUKQM,0.955,0.445,0.0857,0.000142,0.13,-15.293,0.039,0.173
01VSHxfYF9HH7gnLPXXU1F,0.88,0.629,0.187,9.81e-06,0.0916,-15.878,0.0459,0.257
01VSHxfYF9HH7gnLPXXU1F,0.88,0.629,0.187,9.81e-06,0.0916,-15.878,0.0459,0.257
01VSHxfYF9HH7gnLPXXU1F,0.88,0.629,0.187,9.81e-06,0.0916,-15.878,0.0459,0.257
01VSHxfYF9HH7gnLPXXU1F,0.88,0.629,0.187,9.81e-06,0.0916,-15.878,0.0459,0.257
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
015fd1R17Z7S1FeU5H2V3I,0.0377,0.544,0.727,0.0,0.122,-6.522,0.0903,0.359
000TJlEJQ3nafsm1hBWpoj,0.155,0.62,0.586,0.0,0.535,-6.612,0.212,0.487
000TJlEJQ3nafsm1hBWpoj,0.155,0.62,0.586,0.0,0.535,-6.612,0.212,0.487
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
000TJlEJQ3nafsm1hBWpoj,0.155,0.62,0.586,0.0,0.535,-6.612,0.212,0.487
00ZprREYIexO3pgJlPgPau,2.14e-05,0.199,0.746,5e-05,0.471,-8.234,0.0648,0.328
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
00CCXySfYOVAXvRb8y8bmo,0.402,0.48,0.794,5.03e-05,0.32,-9.007,0.323,0.665
010ALbbh5KlQ4fKWgSdhRd,0.642,0.37,0.0772,0.69,0.112,-19.322,0.0414,0.0954
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
01ATDIJlGtEbk2KbzJdk1e,0.82,0.594,0.134,0.0199,0.329,-14.682,0.036,0.219
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
01QdEx6kFr78ZejhQtWR5m,0.819,0.546,0.273,0.0,0.137,-9.208,0.0308,0.271
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
01Z18LIRXx7QHzWp2QpDaE,0.875,0.67,0.372,0.000188,0.161,-8.175,0.0266,0.225
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
015fd1R17Z7S1FeU5H2V3I,0.0377,0.544,0.727,0.0,0.122,-6.522,0.0903,0.359
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
00qVenrhW7Lr9AwHgc7rOe,0.154,0.692,0.585,0.000341,0.111,-5.59,0.0362,0.506
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
01wky5GjrE72972vgyORM8,0.954,0.327,0.00335,0.0222,0.112,-27.336,0.0394,0.216
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
01MV13Hg9sfFNtgcMidjgE,0.964,0.146,0.174,0.788,0.112,-39.711,0.0976,0.0249
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
01BMA2zYOX51Vz7QHdSAgO,0.19,0.666,0.407,0.0,0.0937,-7.942,0.0435,0.566
01BMA2zYOX51Vz7QHdSAgO,0.19,0.666,0.407,0.0,0.0937,-7.942,0.0435,0.566
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
009ImBOrIUlWgla8U05RAC,0.00273,0.432,0.725,0.0,0.208,-4.862,0.0431,0.353
009ImBOrIUlWgla8U05RAC,0.00273,0.432,0.725,0.0,0.208,-4.862,0.0431,0.353
009ImBOrIUlWgla8U05RAC,0.00273,0.432,0.725,0.0,0.208,-4.862,0.0431,0.353
017PF4Q3l4DBUiWoXk4OWT,0.167,0.73,0.729,1.39e-06,0.349,-3.434,0.0884,0.467
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
00Xcf47ApZUt6omH2RgdUM,0.275,0.862,0.726,0.0,0.129,-7.11,0.035,0.864
007JQyyu6DrGza9XX6scAN,0.194,0.664,0.797,0.0,0.337,-4.473,0.0362,0.284
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
015fd1R17Z7S1FeU5H2V3I,0.0377,0.544,0.727,0.0,0.122,-6.522,0.0903,0.359
01U0X0ToQhK0AgvNUdyXQe,0.445,0.44,0.608,3.16e-05,0.104,-7.359,0.388,0.205
01U0X0ToQhK0AgvNUdyXQe,0.445,0.44,0.608,3.16e-05,0.104,-7.359,0.388,0.205
01U0X0ToQhK0AgvNUdyXQe,0.445,0.44,0.608,3.16e-05,0.104,-7.359,0.388,0.205
01U0X0ToQhK0AgvNUdyXQe,0.445,0.44,0.608,3.16e-05,0.104,-7.359,0.388,0.205
01U0X0ToQhK0AgvNUdyXQe,0.445,0.44,0.608,3.16e-05,0.104,-7.359,0.388,0.205
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,0.768
000TJlEJQ3nafsm1hBWpoj,0.155,0.62,0.586,0.0,0.535,-6.612,0.212,0.487
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
01U0X0ToQhK0AgvNUdyXQe,0.445,0.44,0.608,3.16e-05,0.104,-7.359,0.388,0.205
000TJlEJQ3nafsm1hBWpoj,0.155,0.62,0.586,0.0,0.535,-6.612,0.212,0.487
02LqtUPTOQ8wcouIumUKQM,0.955,0.445,0.0857,0.000142,0.13,-15.293,0.039,0.173
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
01fzY6YKwKQ3LxCpIP6buB,0.583,0.622,0.627,0.0552,0.11,-8.07,0.0276,0.248
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236
01U0X0ToQhK0AgvNUdyXQe,0.445,0.44,0.608,3.16e-05,0.104,-7.359,0.388,0.205
01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,0.446
